Topic,Evidence / note,Source anchor
Yang process structure,"Yang describes a four-bed, ten-step PSA cycle in which equalization, purge provision, and backfill use gas from companion beds. This supports an explicit direct-pair schedule abstraction for the minimal implementation.","Yang 2009 uploaded PDF, process description and Table 2; https://doi.org/10.1080/01496390902729122"
Yang schedule table,The source Table 2 gives A/B/C/D operation labels and duration spans. Implementation should normalize the table into executable operation groups rather than infer pairings by row order.,"Yang 2009 uploaded PDF, Table 2"
Yang model complexity,"Yang uses a non-isothermal dynamic model with mass, energy, and momentum balances and layered activated carbon/zeolite 5A beds; physical-model mismatch must be recorded separately from wrapper correctness.","Yang 2009 uploaded PDF, mathematical model and adsorbent sections"
toPSAil core engine,"toPSAil derives and implements a CSTR-in-series adsorber model with material, energy, pressure-flow, and boundary-condition machinery. The wrapper should reuse this engine rather than replace it.","toPSAil paper uploaded PDF, model development; https://doi.org/10.1016/j.compchemeng.2023.108309"
toPSAil workflow,toPSAil simulates PSA cycles step by step and records performance metrics; the Yang wrapper should orchestrate calls and reconstruct four-bed metrics externally.,"toPSAil paper uploaded PDF, workflow and performance-metric sections"
PFD/UI limitation,The published toPSAil PFD discussion is centred on two adsorbers and says the user interface is limited to two adsorbers. The Yang implementation should therefore prefer programmatic wrapper inputs/tests over GUI assumptions.,"toPSAil paper uploaded PDF, process-flow diagram and input sections"
Dynamic tanks removed,Dynamic tanks are deliberately out of scope for Yang internal transfers. Internal EQI/EQII/PP/AD&PP transfers are zero-holdup direct couplings; only the bed states persist physically.,Corrected project architecture in this workbook
Metric basis,"Internal direct transfers are ledger entries, not external product. Product purity/recovery must be reconstructed from external feed/product/waste streams plus bed inventory change.",Corrected project architecture in this workbook
Events deferred,Event control is a refinement after fixed-duration direct coupling works; otherwise event conflicts can obscure architecture errors.,"toPSAil paper uploaded PDF, event-driven simulation discussion"
Assumptions for this workbook,No external web search was used. Literature notes are taken from the uploaded Yang and toPSAil PDFs; repo-specific implementation details remain to be verified against the four-bed branch/code when needed.,Workbook update note
